,symbol,interval,open,high,low,close,volume,macd,macdsignal,ema200,GT_ema200,signal_over_under,cross,trade_status,take_profit,stop_loss,win,loss
2021-01-03 02:30:00,BTCUSD,30,32838.5,33433.0,32720.0,33100.0,236529340,852.9403730276645,678.235769397828,28935.376532874005,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-03 03:00:00,BTCUSD,30,33100.0,33197.0,32802.5,33157.5,135741779,871.2911973767805,716.8468549936185,28977.38771165138,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-03 03:30:00,BTCUSD,30,33157.5,33333.0,33095.5,33134.0,118315244,873.8647355719404,748.2504311092829,29018.747037903606,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-03 04:00:00,BTCUSD,30,33134.0,33156.0,32217.5,32353.5,365880413,803.6603596784371,759.3324168231137,29051.928659417004,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-03 04:30:00,BTCUSD,30,32353.5,32524.5,30772.0,30834.0,740770779,618.2847334407525,731.1228801466415,29069.660712557135,Bull,1,1.0,,0.0,0.0,0.0,0.0
2021-01-03 05:00:00,BTCUSD,30,30834.0,31972.0,30520.0,31670.5,659229099,532.7307842979426,691.4444609769017,29095.53971044214,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-03 05:30:00,BTCUSD,30,31670.5,31850.0,31404.5,31703.5,157414437,462.26280950744695,645.6081306830108,29121.48956406958,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-03 06:00:00,BTCUSD,30,31703.5,32246.5,31449.0,32232.0,157921291,443.94444966295487,605.2753944789996,29152.439916665902,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-03 06:30:00,BTCUSD,30,32232.0,32320.0,32066.0,32190.5,130004930,421.22272101370254,568.4648597859402,29182.669370231415,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-03 07:00:00,BTCUSD,30,32190.5,32228.0,31687.0,32033.0,216917587,386.0564353652735,531.9831749018069,29211.030869035083,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-03 07:30:00,BTCUSD,30,32033.0,32275.0,31845.0,32214.5,85980274,368.58363110664504,499.30326614277453,29240.916134019808,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-03 08:00:00,BTCUSD,30,32214.5,32291.5,32013.0,32250.0,101609261,353.5256376720281,470.14774044862526,29270.857267014635,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-03 08:30:00,BTCUSD,30,32250.0,32535.5,32249.5,32502.0,95079491,357.8018463751432,447.67856163392884,29303.007940974687,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-03 09:00:00,BTCUSD,30,32502.0,32699.0,32282.0,32690.5,99246255,372.11167545735225,432.5651843986135,29336.714329621704,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-03 09:30:00,BTCUSD,30,32690.5,32843.0,32605.0,32646.0,98797166,375.5326335649843,421.15867423188763,29369.64254524736,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-03 10:00:00,BTCUSD,30,32646.0,32861.0,32622.5,32844.0,51081570,389.72816902178965,414.87257318986804,29404.21326619017,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-03 10:30:00,BTCUSD,30,32844.0,32963.5,32802.5,32841.0,101472125,396.1693643908329,411.131931430061,29438.41014911365,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-03 11:00:00,BTCUSD,30,32841.0,32842.5,32672.5,32736.0,75219290,388.32506601169734,406.5705583463883,29471.22198842595,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-03 11:30:00,BTCUSD,30,32736.0,32823.0,32544.0,32675.5,76235232,372.9276804894507,399.84198277500076,29503.105351725193,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-03 12:00:00,BTCUSD,30,32675.5,32789.0,32538.5,32646.5,32591847,354.3009233937919,390.73377089875896,29534.382910414493,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-03 12:30:00,BTCUSD,30,32646.5,33332.0,32646.0,33286.5,129626111,386.72382397817637,389.93178151464247,29571.71740881833,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-03 13:00:00,BTCUSD,30,33286.5,34153.0,33190.0,34031.0,452785605,467.1095857012333,405.36734235196064,29616.088379874865,Bull,0,-1.0,,0.0,0.0,0.0,0.0
2021-01-03 13:30:00,BTCUSD,30,34031.0,34250.0,33690.0,33790.5,232937024,505.58151200047723,425.41017628166395,29657.62481390596,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-03 14:00:00,BTCUSD,30,33790.5,34162.5,33709.5,33931.5,124827830,541.2095851750964,448.57005806035045,29700.15093516063,Bull,0,0.0,,0.0,0.0,0.0,0.0
